Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
109   1.636822E+03  3.315649E-03  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.362995E+01  8.423528E+01  5.066134E-01  8.752495E-01  1.127928E+00  
110   1.285218E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.362995E+01  8.423528E+01  3.180729E-01  9.284974E-01  1.127928E+00  
111   1.356975E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.897630E+01  8.423528E+01  3.180729E-01  9.284974E-01  1.127928E+00  
112   1.325575E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.362995E+01  8.423528E+01  3.180729E-01  9.284974E-01  1.430611E+00  
113   1.285167E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.362995E+01  8.423528E+01  2.532810E-01  9.284974E-01  1.127928E+00  
114   1.326115E+03  3.960973E-02  3.624048E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.362995E+01  9.047770E+01  2.532810E-01  9.284974E-01  1.127928E+00  
115   2.571086E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  9.813417E+01  8.423528E+01  2.532810E-01  9.284974E-01  1.127928E+00  
116   1.026498E+04  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  9.365753E+01  5.657662E+00  8.362995E+01  8.423528E+01  2.532810E-01  9.284974E-01  1.127928E+00  
117   8.321897E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  8.314290E+01  5.657662E+00  8.362995E+01  8.423528E+01  2.532810E-01  9.284974E-01  1.127928E+00  
118   1.295493E+03  3.960973E-02  4.184595E-01  1.425077E-01  3.195976E+00  5.564724E+00  5.657662E+00  8.362995E+01  8.423528E+01  2.532810E-01  9.284974E-01  1.127928E+00  
119   8.844426E+05  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  5.564724E+00  2.434889E+02  8.362995E+01  8.423528E+01  2.532810E-01  9.284974E-01  1.127928E+00  
120   1.525976E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  9.240753E+01  8.423528E+01  2.532810E-01  9.284974E-01  1.127928E+00  
121   1.845883E+06  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  1.715742E+00  3.519331E+02  8.362995E+01  8.423528E+01  2.532810E-01  9.284974E-01  1.127928E+00  
122   1.587966E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  1.715742E+00  5.657662E+00  8.362995E+01  9.940414E+01  2.532810E-01  9.284974E-01  1.127928E+00  
123   1.273924E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  1.715742E+00  5.657662E+00  8.362995E+01  8.423528E+01  4.915489E+00  1.044993E+00  1.127928E+00  
124   1.568254E+03  2.541177E-01  4.184595E-01  1.425077E-01  1.336514E+00  1.715742E+00  5.657662E+00  8.362995E+01  8.423528E+01  2.532810E-01  1.208504E+00  1.127928E+00  
125   1.341424E+03  3.960973E-02  4.969478E-01  1.425077E-01  1.336514E+00  1.715742E+00  5.657662E+00  8.362995E+01  8.423528E+01  2.532810E-01  1.208504E+00  1.127928E+00  
126   2.180567E+06  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  1.715742E+00  3.824385E+02  8.438929E+01  8.423528E+01  2.532810E-01  1.208504E+00  1.127928E+00  
127   1.462131E+03  1.831093E-01  4.184595E-01  1.425077E-01  1.336514E+00  1.715742E+00  5.657662E+00  8.438929E+01  8.423528E+01  2.532810E-01  1.208504E+00  1.127928E+00  
128   1.266213E+03  3.960973E-02  4.184595E-01  1.425077E-01  1.336514E+00  1.715742E+00  5.657662E+00  8.438929E+01  8.423528E+01  1.513627E+00  1.208504E+00  1.127928E+00  
